Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
hsqldb,org.hsqldb.persist.RowStoreAVLHybrid,RowStoreAVLHybrid,Public Class,81,3,10,0,2,14,1,89,0,0,228,11,0.05,25,25,47,43,0,2,147,123,22,5,328,5,2,2,22,77,66,0,0,22,106,157,54,No
hsqldb,org.hsqldb.RowAction,RowAction,Public Class,32,5,20,1,6,27,1,186,3,0,598,44,0.07,14,14,82,74,13,0,434,337,26,5,828,32,2,6,29,94,86,3,0,13,267,405,164,No
hsqldb,org.hsqldb.persist.PersistentStoreCollectionSession,PersistentStoreCollectionSession,Public Class,18,5,14,0,3,19,2,108,0,0,259,12,0.05,19,19,49,48,0,0,182,140,18,7,379,11,1,2,18,76,62,1,0,17,118,169,62,No
hsqldb,org.hsqldb.persist.RAFileInJar,RAFileInJar,Final Class,21,2,7,0,2,9,2,68,0,0,151,17,0.11,9,9,44,43,1,0,87,74,21,9,236,6,1,3,21,81,69,4,0,16,71,110,38,No
hsqldb,org.hsqldb.persist.RAFileHybrid,RAFileHybrid,Public Final Class,18,1,5,0,2,6,2,36,0,0,107,14,0.13,8,8,30,29,1,0,56,48,18,7,157,7,1,2,18,78,72,0,0,17,48,76,27,No
hsqldb,org.hsqldb.persist.RAFileNIO,RAFileNIO,Final Class,22,5,15,0,3,20,2,137,0,4,348,21,0.06,16,16,75,72,1,0,242,195,22,13,506,8,1,3,22,72,57,5,0,16,181,249,71,No
hsqldb,org.hsqldb.persist.RAShadowFile.InputStreamShadow,InputStreamShadow,Class,9,2,7,0,2,10,2,30,0,0,73,0,0,5,5,17,16,0,0,41,35,9,4,103,5,1,2,9,58,44,1,0,8,28,49,20,No
hsqldb,org.hsqldb.persist.RowInsertSimple,RowInsertSimple,Public Class,6,0,3,0,1,3,2,29,0,0,63,7,0.11,4,4,27,26,0,0,25,19,6,3,99,1,1,0,6,72,72,0,0,6,22,44,6,No
hsqldb,org.hsqldb.persist.RowInsertSimple.DefaultErrorHandler,DefaultErrorHandler,Public Static Class,4,0,1,0,1,1,2,4,0,0,6,0,0,2,2,5,5,0,0,0,0,4,0,10,1,1,0,4,0,0,0,0,4,0,5,4,No
hsqldb,org.hsqldb.persist.RowInsertSimple.InsertErrorHandler,InsertErrorHandler,Public Static Class,5,2,6,0,2,8,2,15,0,0,36,2,0.06,9,9,12,11,0,0,19,13,5,3,53,2,1,1,5,47,20,1,0,4,13,23,9,No
hsqldb,org.hsqldb.persist.RowInsertVersioning,RowInsertVersioning,Public Class,10,3,10,0,2,13,2,36,0,0,109,6,0.06,13,13,30,30,4,0,69,59,10,7,151,12,1,3,10,73,59,0,0,6,56,81,24,No
hsqldb,org.hsqldb.RowAVLDiskLarge,RowAVLDiskLarge,Public Class,77,4,8,4,2,17,1,15,0,0,27,19,0.7,5,5,8,10,0,0,17,17,3,0,61,2,4,1,3,0,0,0,0,3,19,25,5,No
hsqldb,org.hsqldb.RowActionBase,RowActionBase,Public Class,3,1,6,1,1,7,1,8,0,8,36,19,0.53,1,1,21,21,3,1,20,12,3,9,63,1,1,0,3,56,56,0,0,0,29,33,3,No
hsqldb,org.hsqldb.RowAVLDiskData,RowAVLDiskData,Public Class,68,1,4,1,1,6,1,42,0,0,98,33,0.34,6,6,32,32,0,0,46,45,21,4,173,2,3,1,21,85,85,0,0,21,49,74,24,No
hsqldb,org.hsqldb.RowDiskDataChange,RowDiskDataChange,Public Class,83,2,8,2,2,12,1,30,0,7,85,20,0.24,14,14,28,25,0,0,53,32,9,3,135,4,4,3,9,44,44,0,0,9,39,56,16,No
hsqldb,org.hsqldb.persist.ScriptLoader,ScriptLoader,Public Class,1,8,29,0,5,37,1,9,1,0,31,0,0,13,13,6,5,0,0,20,14,0,0,40,5,1,2,1,0,0,0,0,1,13,19,5,No
hsqldb,org.hsqldb.rowio.RowInputText,RowInputText,Public Class,95,3,10,0,3,14,2,155,0,0,365,23,0.06,26,26,84,84,0,1,229,211,35,17,543,10,4,3,35,92,68,2,21,12,179,266,88,No
hsqldb,org.hsqldb.rowio.RowInputTextQuoted,RowInputTextQuoted,Public Class,98,8,27,1,6,36,1,28,0,3,88,12,0.14,6,6,15,16,0,0,66,49,3,2,128,15,5,6,3,33,33,0,1,2,46,63,19,No
hsqldb,org.hsqldb.rowio.RowOutputText,RowOutputText,Public Class,113,1,5,0,1,7,1,109,0,0,249,14,0.06,24,24,66,65,0,1,137,122,44,9,372,4,4,3,44,90,73,2,25,17,116,178,62,No
hsqldb,org.hsqldb.rowio.RowOutputTextQuoted,RowOutputTextQuoted,Public Class,116,1,7,0,2,8,1,7,1,0,23,8,0.35,3,3,4,5,0,0,12,10,2,0,38,3,5,2,3,0,0,1,1,1,7,14,6,No
hsqldb,org.hsqldb.persist.TextFileReader8,TextFileReader8,Public Class,11,7,23,1,5,30,2,113,1,0,326,18,0.06,11,11,69,67,5,1,205,159,10,7,457,20,1,5,11,66,57,2,0,4,151,222,55,No
hsqldb,org.hsqldb.persist.TextFileOps,TextFileOps,Public Class,2,21,76,0,12,97,1,43,2,0,154,7,0.05,34,34,35,31,0,0,119,80,0,0,204,15,1,3,2,0,0,0,0,2,71,95,23,No
hsqldb,org.hsqldb.persist.TextFileReader16,TextFileReader16,Public Class,17,2,10,0,2,12,2,20,0,0,61,8,0.13,9,9,13,10,3,0,36,31,6,0,89,5,2,4,6,0,0,1,0,2,24,39,14,No
hsqldb,org.hsqldb.persist.TextFileReader8.StringCreator,StringCreator,Static Abstract Class,7,1,9,0,3,10,1,8,1,0,17,0,0,7,7,8,8,7,2,6,5,6,0,25,3,1,1,7,0,0,0,0,0,9,13,3,No
hsqldb,org.hsqldb.persist.TextFileReader8.StringCreatorBytes,StringCreatorBytes,Static Class,14,0,3,0,1,3,1,8,0,0,26,0,0,3,3,10,10,7,0,8,8,7,2,34,1,2,0,7,36,36,0,0,0,10,18,7,No
hsqldb,org.hsqldb.persist.TextFileReader8.StringCreatorChars,StringCreatorChars,Static Class,14,0,3,0,1,3,1,10,0,0,25,0,0,2,2,10,10,7,0,8,8,7,1,35,1,2,0,7,0,0,0,0,0,9,17,7,No
hsqldb,org.hsqldb.RangeVariable.RangeIteratorRight,RangeIteratorRight,Public Static Class,29,4,13,0,3,17,1,26,0,0,67,0,0,5,5,11,10,0,0,43,34,5,1,93,7,3,2,5,60,60,3,0,2,26,42,15,No
hsqldb,org.hsqldb.RangeGroup.RangeGroupEmpty,RangeGroupEmpty,Class,4,1,3,1,1,4,2,6,0,0,12,2,0.17,1,1,5,5,1,0,2,2,4,0,20,1,1,0,4,0,0,0,0,3,2,7,4,No
hsqldb,org.hsqldb.RangeVariable.RangeIteratorBase,RangeIteratorBase,Public Static Class,13,0,4,0,1,5,2,20,0,0,62,0,0,7,7,20,20,0,2,26,23,13,6,82,6,1,2,13,83,83,1,0,12,24,43,18,No
hsqldb,org.hsqldb.RangeVariable.RangeIteratorCheck,RangeIteratorCheck,Static Final Class,16,0,3,0,1,3,2,17,0,0,46,0,0,1,1,19,19,2,0,13,13,16,2,63,1,1,0,16,81,81,0,0,14,15,32,16,No
hsqldb,org.hsqldb.RangeVariable.RangeIteratorJoined,RangeIteratorJoined,Public Static Class,22,1,5,0,2,7,1,22,0,0,54,0,0,2,2,13,16,0,0,28,28,9,3,76,5,2,3,9,70,70,0,0,9,28,44,15,No
hsqldb,org.hsqldb.RangeVariable.RangeIteratorMain,RangeIteratorMain,Public Static Class,24,6,22,1,5,29,1,85,0,0,253,10,0.04,12,12,37,34,1,1,174,135,11,10,348,20,2,5,11,79,71,4,1,5,106,163,60,No
hsqldb,org.hsqldb.StatementManager,StatementManager,Public Final Class,11,5,12,6,2,23,1,79,0,0,170,107,0.63,16,16,47,46,4,0,106,87,11,5,356,6,1,2,11,58,35,5,0,2,87,120,27,No
hsqldb,org.hsqldb.rowio.RowInputBase,RowInputBase,Abstract Class,60,4,13,2,5,18,1,78,0,1,178,32,0.18,17,17,42,43,3,3,123,75,34,2,288,42,3,1,34,71,71,0,20,11,99,118,57,No
hsqldb,org.hsqldb.rowio.RowInputTextLog,RowInputTextLog,Public Class,95,4,9,0,2,13,2,162,0,0,319,10,0.03,29,29,55,55,0,0,202,192,35,6,491,8,4,3,35,77,53,0,23,12,158,235,79,No
hsqldb,org.hsqldb.rowio.RowOutputBase,RowOutputBase,Abstract Class,69,4,16,2,7,21,2,60,0,0,153,26,0.17,21,21,43,38,0,3,106,57,30,0,239,42,3,2,30,0,0,0,22,8,81,94,53,No
hsqldb,org.hsqldb.rowio.RowOutputTextLog,RowOutputTextLog,Public Class,106,1,4,0,1,5,1,71,0,8,176,5,0.03,21,21,51,51,0,0,93,88,37,3,252,4,4,2,37,95,95,0,22,15,84,132,48,Yes
hsqldb,org.hsqldb.sample.ConnectionTypesSample,ConnectionTypesSample,Public Class,1,2,9,2,1,13,1,3,0,0,11,2,0.18,0,0,2,2,0,0,7,6,1,0,16,1,2,0,1,0,0,0,0,1,6,8,1,No
hsqldb,org.hsqldb.sample.DatabaseManagerSample,DatabaseManagerSample,Public Class,32,0,0,0,0,0,1,2,0,0,8,0,0,1,1,3,2,0,0,4,3,0,0,10,0,3,0,0,0,0,0,0,0,3,4,0,No
