Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
activemq-5.17.5326,org.apache.activemq.openwire.v1.ActiveMQMessageTest,ActiveMQMessageTest,Public Class,53,1,5,0,1,5,1,4,0,1,12,26,2.17,2,2,6,6,0,5,6,5,2,0,42,1,6,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5327,org.apache.activemq.openwire.v1.ActiveMQDestinationTestSupport,ActiveMQDestinationTestSupport,Public Abstract Class,50,1,5,0,1,6,1,2,0,0,7,26,3.71,2,2,3,3,0,3,3,2,1,0,35,1,4,0,1,0,0,0,1,0,3,5,1,No
activemq-5.17.5328,org.apache.activemq.openwire.v1.ActiveMQMapMessageTest,ActiveMQMapMessageTest,Public Class,55,1,5,0,1,5,1,4,0,1,12,26,2.17,2,2,6,6,0,0,6,5,2,0,42,1,7,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5329,org.apache.activemq.openwire.v1.MessageTestSupport,MessageTestSupport,Public Abstract Class,51,5,49,0,2,54,1,6,0,0,51,24,0.47,8,8,9,10,0,1,40,39,1,0,81,2,5,1,1,0,0,0,1,0,41,44,2,No
activemq-5.17.5330,org.apache.activemq.openwire.v1.ActiveMQObjectMessageTest,ActiveMQObjectMessageTest,Public Class,55,1,5,0,1,5,1,4,0,1,12,26,2.17,2,2,6,6,0,0,6,5,2,0,42,1,7,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5331,org.apache.activemq.openwire.v1.ActiveMQQueueTest,ActiveMQQueueTest,Public Class,52,1,5,0,1,5,1,4,0,1,12,24,2,2,2,6,6,0,0,6,5,2,0,40,1,5,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5332,org.apache.activemq.openwire.v1.ActiveMQStreamMessageTest,ActiveMQStreamMessageTest,Public Class,55,1,5,0,1,5,1,4,0,1,12,24,2,2,2,6,6,0,0,6,5,2,0,40,1,7,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5333,org.apache.activemq.openwire.v1.ActiveMQTempDestinationTestSupport,ActiveMQTempDestinationTestSupport,Public Abstract Class,51,1,4,0,1,5,1,2,0,0,6,24,4,2,2,3,3,0,2,2,1,1,0,32,1,5,0,1,0,0,0,1,0,2,4,1,No
activemq-5.17.5334,org.apache.activemq.openwire.v1.ActiveMQTempQueueTest,ActiveMQTempQueueTest,Public Class,53,1,5,0,1,5,1,4,0,1,12,24,2,2,2,6,6,0,0,6,5,2,0,40,1,6,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5335,org.apache.activemq.openwire.v1.ActiveMQTempTopicTest,ActiveMQTempTopicTest,Public Class,53,1,5,0,1,5,1,4,0,1,12,24,2,2,2,6,6,0,0,6,5,2,0,40,1,6,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5336,org.apache.activemq.openwire.v1.ActiveMQTopicTest,ActiveMQTopicTest,Public Class,52,1,5,0,1,5,1,4,0,1,12,24,2,2,2,6,6,0,0,6,5,2,0,40,1,5,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5337,org.apache.activemq.openwire.v1.BaseCommandTestSupport,BaseCommandTestSupport,Public Abstract Class,50,1,6,0,1,7,1,2,0,0,8,24,3,2,2,3,3,0,22,4,3,1,0,34,1,4,0,1,0,0,0,1,0,4,6,1,No
activemq-5.17.5338,org.apache.activemq.openwire.v1.BrokerIdTest,BrokerIdTest,Public Class,51,1,5,0,1,6,1,4,0,1,13,26,2,2,2,6,6,0,0,7,6,2,0,43,1,4,0,2,0,0,0,1,1,7,10,2,No
activemq-5.17.5339,org.apache.activemq.openwire.v1.ConnectionControlTest,ConnectionControlTest,Public Class,52,1,7,0,1,8,1,4,0,1,17,26,1.53,2,2,6,6,0,0,11,10,2,0,47,1,5,0,2,0,0,0,1,1,11,14,2,No
activemq-5.17.5340,org.apache.activemq.openwire.v1.ConnectionErrorTest,ConnectionErrorTest,Public Class,52,1,6,0,1,6,1,4,0,1,14,26,1.86,2,2,6,6,0,0,8,7,2,0,44,1,5,0,2,0,0,0,1,1,8,11,2,No
activemq-5.17.5341,org.apache.activemq.openwire.v1.ConnectionIdTest,ConnectionIdTest,Public Class,51,1,5,0,1,6,1,4,0,1,13,26,2,2,2,6,6,0,0,7,6,2,0,43,1,4,0,2,0,0,0,1,1,7,10,2,No
activemq-5.17.5342,org.apache.activemq.openwire.v1.ConnectionInfoTest,ConnectionInfoTest,Public Class,52,1,11,0,2,12,1,5,0,1,25,24,0.96,3,3,7,8,0,0,16,15,2,0,54,2,5,1,2,0,0,0,1,1,17,21,3,No
activemq-5.17.5343,org.apache.activemq.openwire.v1.ConsumerControlTest,ConsumerControlTest,Public Class,52,1,6,0,1,7,1,4,0,1,15,26,1.73,2,2,6,6,0,0,9,8,2,0,45,1,5,0,2,0,0,0,1,1,9,12,2,No
activemq-5.17.5344,org.apache.activemq.openwire.v1.ConsumerIdTest,ConsumerIdTest,Public Class,51,1,6,0,1,7,1,4,0,1,15,26,1.73,2,2,6,6,0,0,9,8,2,0,45,1,4,0,2,0,0,0,1,1,9,12,2,No
activemq-5.17.5345,org.apache.activemq.openwire.v1.ConsumerInfoTest,ConsumerInfoTest,Public Class,52,1,16,0,2,17,1,5,0,1,35,24,0.69,3,3,7,8,0,0,26,25,2,0,64,2,5,1,2,0,0,0,1,1,27,31,3,No
activemq-5.17.5346,org.apache.activemq.openwire.v1.ControlCommandTest,ControlCommandTest,Public Class,52,1,5,0,1,6,1,4,0,1,13,26,2,2,2,6,6,0,0,7,6,2,0,43,1,5,0,2,0,0,0,1,1,7,10,2,No
activemq-5.17.5347,org.apache.activemq.openwire.v1.DataArrayResponseTest,DataArrayResponseTest,Public Class,54,1,8,0,2,9,1,5,0,1,19,24,1.26,3,3,7,8,0,0,10,9,2,0,48,2,6,1,2,0,0,0,1,1,11,15,3,No
activemq-5.17.5348,org.apache.activemq.openwire.v1.ResponseTest,ResponseTest,Public Class,52,1,5,0,1,6,1,4,0,1,13,26,2,2,2,6,6,0,4,7,6,2,0,43,1,5,0,2,0,0,0,1,1,7,10,2,No
activemq-5.17.5349,org.apache.activemq.openwire.v1.DataResponseTest,DataResponseTest,Public Class,54,1,5,0,1,6,1,4,0,1,13,26,2,2,2,6,6,0,0,7,6,2,0,43,1,6,0,2,0,0,0,1,1,7,10,2,No
activemq-5.17.5350,org.apache.activemq.openwire.v1.DestinationInfoTest,DestinationInfoTest,Public Class,52,1,10,0,2,11,1,5,0,1,23,24,1.04,3,3,7,8,0,0,14,13,2,0,52,2,5,1,2,0,0,0,1,1,15,19,3,No
activemq-5.17.5351,org.apache.activemq.openwire.v1.DiscoveryEventTest,DiscoveryEventTest,Public Class,51,1,6,0,1,6,1,4,0,1,14,26,1.86,2,2,6,6,0,0,8,7,2,0,44,1,4,0,2,0,0,0,1,1,8,11,2,No
activemq-5.17.5352,org.apache.activemq.openwire.v1.ExceptionResponseTest,ExceptionResponseTest,Public Class,54,1,5,0,1,6,1,4,0,1,13,26,2,2,2,6,6,0,0,7,6,2,0,43,1,6,0,2,0,0,0,1,1,7,10,2,No
activemq-5.17.5353,org.apache.activemq.openwire.v1.FlushCommandTest,FlushCommandTest,Public Class,52,1,5,0,1,5,1,4,0,1,12,26,2.17,2,2,6,6,0,0,6,5,2,0,42,1,5,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5354,org.apache.activemq.openwire.v1.IntegerResponseTest,IntegerResponseTest,Public Class,54,1,5,0,1,6,1,4,0,1,13,26,2,2,2,6,6,0,0,7,6,2,0,43,1,6,0,2,0,0,0,1,1,7,10,2,No
activemq-5.17.5355,org.apache.activemq.openwire.v1.JournalQueueAckTest,JournalQueueAckTest,Public Class,51,1,6,0,1,6,1,4,0,1,14,26,1.86,2,2,6,6,0,0,8,7,2,0,44,1,4,0,2,0,0,0,1,1,8,11,2,No
activemq-5.17.5356,org.apache.activemq.openwire.v1.JournalTopicAckTest,JournalTopicAckTest,Public Class,51,1,8,0,1,8,1,4,0,1,18,26,1.44,2,2,6,6,0,0,12,11,2,0,48,1,4,0,2,0,0,0,1,1,12,15,2,No
activemq-5.17.5357,org.apache.activemq.openwire.v1.JournalTraceTest,JournalTraceTest,Public Class,51,1,5,0,1,6,1,4,0,1,13,26,2,2,2,6,6,0,0,7,6,2,0,43,1,4,0,2,0,0,0,1,1,7,10,2,No
activemq-5.17.5358,org.apache.activemq.openwire.v1.JournalTransactionTest,JournalTransactionTest,Public Class,51,1,6,0,1,7,1,4,0,1,15,26,1.73,2,2,6,6,0,0,9,8,2,0,45,1,4,0,2,0,0,0,1,1,9,12,2,No
activemq-5.17.5359,org.apache.activemq.openwire.v1.KeepAliveInfoTest,KeepAliveInfoTest,Public Class,52,1,5,0,1,5,1,4,0,1,12,26,2.17,2,2,6,6,0,0,6,5,2,0,42,1,5,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5360,org.apache.activemq.openwire.v1.LastPartialCommandTest,LastPartialCommandTest,Public Class,53,1,5,0,1,5,1,4,0,1,12,26,2.17,2,2,6,6,0,0,6,5,2,0,42,1,5,0,2,0,0,0,1,1,6,9,2,No
activemq-5.17.5361,org.apache.activemq.openwire.v1.PartialCommandTest,PartialCommandTest,Public Class,51,1,6,0,1,6,1,4,0,1,14,26,1.86,2,2,6,6,0,1,8,7,2,0,44,1,4,0,2,0,0,0,1,1,8,11,2,No
activemq-5.17.5362,org.apache.activemq.openwire.v1.LocalTransactionIdTest,LocalTransactionIdTest,Public Class,52,1,6,0,1,6,1,4,0,1,14,26,1.86,2,2,6,6,0,0,8,7,2,0,44,1,5,0,2,0,0,0,1,1,8,11,2,No
activemq-5.17.5363,org.apache.activemq.openwire.v1.TransactionIdTestSupport,TransactionIdTestSupport,Public Abstract Class,50,1,4,0,1,5,1,2,0,0,6,26,4.33,2,2,3,3,0,2,2,1,1,0,34,1,4,0,1,0,0,0,1,0,2,4,1,No
activemq-5.17.5364,org.apache.activemq.openwire.v1.MessageDispatchNotificationTest,MessageDispatchNotificationTest,Public Class,52,1,7,0,1,7,1,4,0,1,16,26,1.63,2,2,6,6,0,0,10,9,2,0,46,1,5,0,2,0,0,0,1,1,10,13,2,No
